Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
414,FamilyMart Caltex Kuantan Bypass,,,,,"3.7934177, 103.2483684"
416,FamilyMart Sendayan,,,,,"2.6876583, 101.848211"
420,FamilyMart Radia,,,,,"3.1015497, 101.5355576"
9999,FamilyMart Subang SS15,,,,,"3.0753576, 101.5905182"
